2019-02-24 11:44:36 | [main] | DEBUG | com.logback.LogbackRollingExample | demoLogDebug | - User id 0 has successfully logged in.
2019-02-24 11:44:36 | [main] | INFO  | com.logback.LogbackRollingExample | demoLogInfo | - User id 0 entered the password incorrectly.
2019-02-24 11:44:36 | [main] | ERROR | com.logback.LogbackRollingExample | demoLogError | - feature login error may be due to network problems
2019-02-24 11:44:37 | [main] | DEBUG | com.logback.LogbackRollingExample | demoLogDebug | - User id 1 has successfully logged in.
2019-02-24 11:44:37 | [main] | INFO  | com.logback.LogbackRollingExample | demoLogInfo | - User id 1 entered the password incorrectly.
2019-02-24 11:44:37 | [main] | ERROR | com.logback.LogbackRollingExample | demoLogError | - feature login error may be due to network problems
2019-02-24 11:44:37 | [main] | DEBUG | com.logback.LogbackRollingExample | demoLogDebug | - User id 2 has successfully logged in.
2019-02-24 11:44:37 | [main] | INFO  | com.logback.LogbackRollingExample | demoLogInfo | - User id 2 entered the password incorrectly.
2019-02-24 11:44:37 | [main] | ERROR | com.logback.LogbackRollingExample | demoLogError | - feature login error may be due to network problems
2019-02-24 11:44:38 | [main] | DEBUG | com.logback.LogbackRollingExample | demoLogDebug | - User id 3 has successfully logged in.
2019-02-24 11:44:38 | [main] | INFO  | com.logback.LogbackRollingExample | demoLogInfo | - User id 3 entered the password incorrectly.
2019-02-24 11:44:38 | [main] | ERROR | com.logback.LogbackRollingExample | demoLogError | - feature login error may be due to network problems
2019-02-24 11:44:38 | [main] | DEBUG | com.logback.LogbackRollingExample | demoLogDebug | - User id 4 has successfully logged in.
2019-02-24 11:44:38 | [main] | INFO  | com.logback.LogbackRollingExample | demoLogInfo | - User id 4 entered the password incorrectly.
2019-02-24 11:44:38 | [main] | ERROR | com.logback.LogbackRollingExample | demoLogError | - feature login error may be due to network problems
2019-02-24 11:44:39 | [main] | DEBUG | com.logback.LogbackRollingExample | demoLogDebug | - User id 5 has successfully logged in.
2019-02-24 11:44:39 | [main] | INFO  | com.logback.LogbackRollingExample | demoLogInfo | - User id 5 entered the password incorrectly.
2019-02-24 11:44:39 | [main] | ERROR | com.logback.LogbackRollingExample | demoLogError | - feature login error may be due to network problems
2019-02-24 11:44:39 | [main] | DEBUG | com.logback.LogbackRollingExample | demoLogDebug | - User id 6 has successfully logged in.
2019-02-24 11:44:39 | [main] | INFO  | com.logback.LogbackRollingExample | demoLogInfo | - User id 6 entered the password incorrectly.
2019-02-24 11:44:39 | [main] | ERROR | com.logback.LogbackRollingExample | demoLogError | - feature login error may be due to network problems
